250801_181237,GPS_GS : $GPRMC,,V,,,,,,,,,,N*53
250801_181237,GPS_GS : $GPGGA,,,,,,0,00,99.99,,,,,,*48
250801_181247,GPS_GS : $GPRMC,,V,,,,,,,,,,N*53
250801_181248,GPS_GS : $GPGGA,,,,,,0,00,99.99,,,,,,*48
250801_181248,GPS_GS : $GPRMC,,V,,,,,,,,,,N*53
250801_181249,GPS_GS : $GPGGA,,,,,,0,00,99.99,,,,,,*48
250801_181249,GPS_GS : $GPRMC,,V,,,,,,,,,,N*53
250801_181249,GPS_GS : $GPGGA,,,,,,0,00,99.99,,,,,,*48
250801_181250,GPS_GS : $GPRMC,,V,,,,,,,,,,N*53
250801_181250,GPS_GS : $GPGGA,,,,,,0,00,99.99,,,,,,*48
250801_181251,GPS_GS : $GPRMC,,V,,,,,,,,,,N*53
250801_181251,GPS_GS : $GPGGA,,,,,,0,00,99.99,,,,,,*48
250801_181252,GPS_GS : $GPRMC,,V,,,,,,,,,,N*53
250801_181252,GPS_GS : $GPGGA,,,,,,0,00,99.99,,,,,,*48
250801_181253,GPS_GS : $GPRMC,,V,,,,,,,,,,N*53
250801_181253,GPS_GS : $GPGGA,,,,,,0,00,99.99,,,,,,*48
250801_181254,GPS_GS : $GPRMC,,V,,,,,,,,,,N*53
250801_181254,GPS_GS : $GPGGA,,,,,,0,00,99.99,,,,,,*48
250801_181255,GPS_GS : $GPRMC,,V,,,,,,,,,,N*53
250801_181255,GPS_GS : $GPGGA,,,,,,0,00,99.99,,,,,,*48
250801_181256,GPS_GS : $GPRMC,,V,,,,,,,,,,N*53
250801_181256,GPS_GS : $GPGGA,,,,,,0,00,99.99,,,,,,*48
250801_181257,GPS_GS : $GPRMC,,V,,,,,,,,,,N*53
250801_181257,GPS_GS : $GPGGA,,,,,,0,00,99.99,,,,,,*48
250801_181258,GPS_GS : $GPRMC,,V,,,,,,,,,,N*53
250801_181258,GPS_GS : $GPGGA,,,,,,0,00,99.99,,,,,,*48
250801_181259,GPS_GS : $GPRMC,,V,,,,,,,,,,N*53
250801_181259,GPS_GS : $GPGGA,,,,,,0,00,99.99,,,,,,*48
250801_181300,GPS_GS : $GPRMC,,V,,,,,,,,,,N*53
250801_181300,GPS_GS : $GPGGA,,,,,,0,00,99.99,,,,,,*48
250801_181301,GPS_GS : $GPRMC,,V,,,,,,,,,,N*53
250801_181301,GPS_GS : $GPGGA,,,,,,0,00,99.99,,,,,,*48
250801_181302,GPS_GS : $GPRMC,,V,,,,,,,,,,N*53
250801_181303,GPS_GS : $GPGGA,,,,,,0,00,99.99,,,,,,*48
250801_181303,GPS_GS : $GPRMC,,V,,,,,,,,,,N*53
250801_181303,GPS_GS : $GPGGA,,,,,,0,00,99.99,,,,,,*48
250801_181304,GPS_GS : $GPRMC,,V,,,,,,,,,,N*53
250801_181304,GPS_GS : $GPGGA,,,,,,0,00,99.99,,,,,,*48
